Feature	S9_Z05
amd	0
amd1	3.25954
amd2	0
amda	16.29634
amdhd1	11.0769
amdhd2	3.27429
amer	0
amfa	0
amfc	26.37813
amfr	0
amft	0
amgp	0
amh	0
amhx	0
ami1	11.1406
amia	3119.8211900000006
amia1	0
amia2	5.25149
amib	593.1412800000002
amib1	524.87788
amib2	0
amic	2306.60237
amic_1	39.90495
amic1	5.73157
amic_2	29.146749999999997
amid	348.3745
amid_2	0
amid2	70.28962
amie	60.03946
amif	10.957
amigo2	0
amir	0
amis	0
amj	0
aml	0
aml1	62.85885
ammecr1	0
ammecr1l	7.26515
amn	1684.61933
amn1	0
amna	432.44946999999996
amnc	26.0475
amnd	0
amne	4.98017
amo1	0
amo2	0
amotl1	0
ampc	176.62012
ampc2	0
ampc3	33.07471
ampd	4858.876940000003
ampd1	0
ampd2	0
ampd3	0
ampdh2	0
ampe	351.77749
ampg	1121.21222
ampg1	0
ampg2	83.50988
ampg4	2253.055440000001
amph	72.9381
ampp	250.64765999999995
ampr	63.3033
amps	434.64721999999995
amps1	0
amps5	60.62103
amra	0
amrr	0
ams	0
ams1	14.97315
amsb	0
amsc	0
amsd	0
amse	0
amsf	7.69831
amsj	0
amsk	2732.3845000000015
amsl	0
amt	5082.1169800000025
amt-1	0
amt_1	1181.7549399999998
amt1	65.31291
amt1-2	0
amt-2	0
amt2	0
amt-3	0
amt3	0
amt4	0
amt5	0
amtb	6371.6150099999995
amtb1	111.28067
amtr	0
amy	0
amy1	15.646840000000001
amy13i	5.00068
amy2a	0
amy4	0
amy5	0
amya	96.53327000000002
amya2	93.75314
amyb	1363.0183200000001
amyb3	0
amyb5	0
amyc	0
amyc1	0
amy-d	0
amyd	53.2236
amyd1	0
amyd5	0
amyd7	0
amyl	0
amylase	0
amyrel	0
amys	0
amyx	0
amyy	0
amz1	0
amz2	0
amza	3.68873
an	0
anapc1	0
anapc10	0
anapc11	13.385909999999999
anapc13	0
anapc2	5.29545
anapc4	4.08602
anapc5	0
anapc7	0
anb1	0
anc-1	0
anc1	0
ance-3	0
andaa	0
andab	0
andac	0
andad	10.088
andr	14.0565
anfa	0
angel1	0
angel2	0
angpt2	0
angpt4	0
angptl1	0
angptl2	0
angptl3	0
angptl4	0
angptl5	0
angptl6	0
angptl7	0
ania	17.562939999999998
ank	36.12641
ank1	0
ank2	32.0488
ank3	0
anka	0
ankar	0
ankb	10.2396
ankdd1a	0
ankdd1b	0
ankef1	0
